Sample,Strain,THC-Total,CBD-Total
God Bud,,11.31%,6.86%
Pele’s Pikake Rose,,13.45%,0.07%
Tangerine Cookies,,26.12%,0.08%
Loser Bud,,19.97%,0.08%
Citrus Sap 11/27 Strannigan,,16.77%,0.05%
Charlottes Web #1,,4.28%,7.65%
Kotton Candy,,18.21%,0.07%
Pangia #2,,14.93%,0.07%
Tri Daddy Green E,,16.49%,0.05%
Gorilla Glue #4,,17.65%,0.07%
Green Crack,,18.73%,0.07%
X2,,20.93%,0.08%
X1,,17.14%,0.07%
Sample 3D,,19.87%,0.07%
Sample 1A,,16.90%,0.07%
Curious G,,0.69%,17.35%
Sour Tsunami,,1.04%,11.77%
#9,,19.58%,0.07%
#8,,13.90%,0.07%
#7,,15.43%,0.07%
#6,,22.20%,0.11%
#5,,16.81%,0.09%
#4,,14.37%,0.09%
#3,,19.92%,0.07%
#2,,13.92%,0.12%
#1,,16.07%,0.09%
#13,,19.87%,0.07%
#12,,17.79%,0.08%
#11,,21.80%,0.03%
#10,,18.67%,0.07%
Cookie Monster Kush,,18.73%,0.05%
Saphire Scout 9486,,22.93%,0.05%
Bubba / Afghani 1690,,18.08%,0.03%
Black Metal Sativa,,17.52%,0.07%
Welcome to Hell Kush,,18.88%,0.09%
The Ryken,,17.74%,0.04%
Reaper Sativa,,17.72%,0.03%
Remedy,,0.87%,14.92%
Valentine,,0.66%,14.89%
Sour Tsu,,3.69%,10.30%
HT-18,,4.01%,7.49%
HTSU,,0.43%,10.61%
CTSU,,0.50%,10.40%
Pine Tsu,,0.66%,14.16%
Medi Haze,,15.15%,0.06%
OD #11,,21.18%,0.07%
OD #10,,20.93%,0.19%
OD #9,,5.70%,12.57%
OD #8,,18.34%,0.08%
OD #7,,19.67%,0.07%
OD #6,,14.73%,0.03%
ID #5,,17.76%,0.04%
ID #4,,17.65%,0.09%
ID #3,,19.84%,0.04%
ID #2,,19.59%,0.04%
ID #1,,18.61%,0.04%
Harly-Canna,,15.04%,0.26%
AC/DC,,5.40%,9.65%
Old Toby,,16.45%,0.08%
Casey Jones,,9.91%,0.06%
