Sample,Strain,THC-Total,CBD-Total
Orange Kush,,23.07%,0.24%
Permafrost,,22.59%,0.24%
The White,,27.12%,0.32%
Albert Walker,,15.48%,0.11%
Banana OG (DE),,24.78%,0.22%
Blue Dream (DE),,19.86%,0.18%
Durban Poison (GM),,16.42%,0.07%
Shiatsu #2,,6.15%,10.24%
Trainwreck #1,,18.84%,0.25%
Dutch’s Blue Dream,,19.72%,0.22%
Bob Marley,,13.39%,0.17%
Purple Glue,,23.16%,0.16%
Megatron,,17.07%,0.14%
Humboldt Honey,,21.59%,0.18%
Animal Cookies,,18.38%,0.13%
DOA,,18.92%,0.14%
Holy Grail Kush,,17.49%,0.13%
Black Berry Headband,,15.95%,0.25%
GG4,,15.39%,0.07%
Cookies + Cream,,20.22%,0.21%
Diablo Kush,,22.25%,0.24%
Dungeness OG,,26.77%,0.22%
O,,15.87%,0.14%
BL,,19.47%,0.20%
Cheezel / Rhy’s Lightning,,18.38%,0.19%
Gorilla Glue (Reese),,24.31%,0.26%
Fat Purple,,11.92%,0.05%
Utopia Kush,,15.97%,0.16%
Super Silver Haze,,23.50%,0.17%
UM 4,,20.31%,0.23%
Great White Shark,,14.04%,0.06%
Loud Pie,,14.35%,0.10%
Snowman,,18.84%,0.17%
Lavender,,12.86%,0.16%
Girl Scout Cookie,,23.93%,0.14%
OG Kush,,20.90%,0.20%
AK47 (Dead Tree Farms),,13.20%,0.16%
Sour Tsunami W8,,0.95%,14.18%
Pineapple,,25.00%,0.29%
XJ13,,18.61%,0.13%
Rare Dis,,21.80%,0.29%
Rare Dawg,,17.98%,0.26%
HO,,20.59%,0.23%
Yogi Diesel,,15.20%,< 0.01%
Mayweather OG,,18.59%,0.03%
Girl Scout Cookies,,13.41%,0.07%
