id_x,names,type,crosses,breeder,effects,ailment,flavor,name,category,THC-Total,CBD-Total
3208,West Coast Sour Diesel (W.C.S.D.),Hybrid,,NorStar Genetics,,,,,,,
3209,Lands End,Hybrid,,NorStar Genetics,,,,,,,
3210,Bushman Kush,Hybrid,,NorStar Genetics,,,,,,,
3211,Colombian Thunder Fuck,Hybrid,,NorStar Genetics,,,,,,,
3212,Grand Poobah,Hybrid,,NorStar Genetics,,,,,,,
3213,Lost Moon,Hybrid,,NorStar Genetics,,,,,,,
3214,Queen of Hearts,Hybrid,,NorStar Genetics,,,,,,,
3215,Darkwood,Hybrid,,NorStar Genetics,,,,,,,
3216,Banana D,Hybrid,,NorStar Genetics,,,,,,,
3217,Bubba Fresh,Hybrid,,NorStar Genetics,,,,,,,
3218,Pretty Wicked,Hybrid,,NorStar Genetics,,,,,,,
3219,Quick Draw McGraw,Hybrid,,Red Bee Seed Company,,,,,,,
3220,OG Palpatine,Hybrid,,Red Bee Seed Company,,,,,,,
3221,Moon Pie,Hybrid,,Red Bee Seed Company,,,,,,,
3222,MG Bubba Kush,Hybrid,,Red Bee Seed Company,,,,,,,
3223,Hiawassee,Hybrid,,Red Bee Seed Company,,,,,,,
3224,Baba Looey,Hybrid,,Red Bee Seed Company,,,,,,,
3225,S.L.V.B.K.,Hybrid,,Sin City Seeds,,,,,,,
3226,Space Queen (Red Bee),Hybrid,,Red Bee Seed Company,,,,,,,
3227,Pensacola Punch,Hybrid,,Red Bee Seed Company,,,,,,,
3228,OG Organa,Hybrid,,Red Bee Seed Company,,,,,,,
3229,Lola Lane,Hybrid,,Red Bee Seed Company,,,,,,,
3230,Korman Kush,Hybrid,,Red Bee Seed Company,,,,,,,
3231,Jazzy Belle,Hybrid,,Red Bee Seed Company,,,,,,,
3232,Harlequinade,Hybrid,,Red Bee Seed Company,,,,,,,
3233,Courvoisier,Hybrid,,Red Bee Seed Company,,,,,,,
3234,Brittany Murphy,Hybrid,,Red Bee Seed Company,,,,,,,
3235,Blue Ridge,Hybrid,,Red Bee Seed Company,,,,,,,
3236,Black Unicorn,Hybrid,,Red Bee Seed Company,,,,,,,
3237,ATL Confidential,Hybrid,,Red Bee Seed Company,,,,,,,
3238,Hybrid,Hybrid,,Unknown Breeder,,,,High Tea - Lemon Rose,"Edibles,Drink,",,
3239,Sativa,Hybrid,,Unknown Breeder,,,,High Tea - Holiday Grey (Sugar Free),"Edibles,Drink,",,
3240,Bubbleberry Haze,Hybrid,,Unknown Breeder,,,,,,,
3241,Fruity OG,Hybrid,,Unknown Breeder,,,,,,,
3242,Omega,Hybrid,,Unknown Breeder,,,,Omega - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
3243,Musk Skunk,Hybrid,,Unknown Breeder,,,,,,,
3244,CBD OG (CRAFT),Hybrid,,CRAFT,,,,CBD/OG Cannabis,"Tincture,",,
3245,Blue Pacific OG,Hybrid,,Oregon Green Seed,,,,,,,
3246,Mail Order Bride,Hybrid,,Iron Fist Genetics,,,,,,,
3247,Bubba Love,Hybrid,,Alpha Kronik Genes,,,,,,,
3248,Bash,Hybrid,,Oregon Green Seed,,,,,,,
3249,Blue Snowdog,Hybrid,,Oregon Green Seed,,,,,,,
3250,Sugar Cookies,Hybrid,,Oregon Green Seed,,,,Sugar Cookies - Wax,"Concentrate,Wax,",,
3251,Satellite Cindy,Hybrid,,Oregon Green Seed,,,,,,,
3252,Quick Freeze,Hybrid,,Oregon Green Seed,,,,,,,
3253,Willamette Valley Pineapple,Hybrid,,Oregon Green Seed,,,,,,,
3254,Oregon Greens,Hybrid,,Oregon Green Seed,,,,,,,
3255,Iranian Early Flower BX2,Hybrid,,Oregon Green Seed,,,,,,,
3256,Oaxacan Iranian,Hybrid,,Oregon Green Seed,,,,,,,
3257,Afghani/Black Domina Hybrid,Hybrid,,Oregon Green Seed,,,,,,,
3258,Chronic Mendo,Hybrid,,Unknown Breeder,,,,,,,
3259,Gaia Kush,Hybrid,,Unknown Breeder,,,,,,,
3260,Mandala Kush,Hybrid,,Unknown Breeder,,,,,,,
3261,Salted Caramel Kush,Hybrid,,Unknown Breeder,,,,,,,
3262,Stargazer,Hybrid,,Unknown Breeder,,,,,,,
3263,Debutant,Hybrid,,Unknown Breeder,,,,,,,
3264,Pikes Purple,Hybrid,,Cult Classics Seeds,,,,,,,
3265,Mountain Goat,Hybrid,,Cult Classics Seeds,,,,,,,
3266,Purification,Hybrid,,Cult Classics Seeds,,,,,,,
3267,Tillamook Strawberry,Hybrid,,Alpha Kronik Genes,,,,,,,
3268,Nepalese Rocket,Hybrid,,Oregon Green Seed,,,,,,,
3269,Chromoly Kush,Hybrid,,Nine Point Growth Industries,,,,,,,
3270,Jade Kush,Hybrid,,Nine Point Growth Industries,,,,,,,
3271,Dead Bubba,Hybrid,,Baked Genetics,,,,,,,
3272,The White Jones,Hybrid,,Connoisseur Genetics,,,,,,,
3273,Strawberry Dog Shit,Hybrid,,Connoisseur Genetics,,,,,,,
3274,Dirty Bubba,Hybrid,,Baked Genetics,,,,,,,
3275,Orange Big-E,Hybrid,,Franchise Genetics,,,,,,,
3276,Orange Head,Hybrid,,Franchise Genetics,,,,,,,
3277,Orange A-Dub,Hybrid,,Franchise Genetics,,,,,,,
3278,Pornage Star,Hybrid,,Franchise Genetics,,,,,,,
3279,Alien Planet,Hybrid,,Franchise Genetics,,,,,,,
